Train No.,islno,station Code,Day of Journey,Arrival time,Departure time,Distance,locoType
84369,1,BRWD,1,0:00,15:30,0,Electric
84369,2,DTO,1,15:54,15:59,27,Electric
84369,3,GHD,1,16:38,16:43,60,Electric
84369,4,GHQ,1,16:53,16:55,70,Electric
84369,5,MQX,1,17:08,17:10,81,Electric
84369,6,NUQ,1,17:31,17:33,104,Electric
84369,7,WDM,1,17:44,17:46,116,Electric
84369,8,DXN,1,18:08,18:10,138,Electric
84369,9,RNQ,1,18:50,18:55,160,Electric
84369,10,CPU,1,20:10,21:00,201,Electric
84369,11,AGY,1,21:13,21:15,211,Diesel
84369,12,CUK,1,21:36,21:38,223,Diesel
84369,13,RBGJ,1,21:52,21:54,228,Diesel
84369,14,LUSA,1,22:41,22:43,263,Diesel
84369,15,SKGH,1,23:10,23:12,283,Diesel
84369,16,CAR,2,0:05,0:10,304,Diesel
84369,17,MZP,2,0:43,0:45,335,Diesel
84369,18,BDL,2,0:56,0:58,343,Diesel
84369,19,MJA,2,1:31,1:33,387,Diesel
84369,20,NYN,2,2:05,2:07,418,Diesel
84369,21,ALD,2,2:30,3:05,425,Electric
84369,22,PRG,2,3:18,3:20,431,Electric
84369,23,PFM,2,3:37,3:38,438,Electric
84369,24,RMC,2,3:56,3:57,459,Electric
84369,25,LGO,2,4:04,4:05,466,Electric
84369,26,KHNM,2,4:20,4:21,480,Electric
84369,27,GRMR,2,4:33,4:34,492,Electric
84369,28,PQN,2,4:42,4:43,499,Electric
84369,29,UCR,2,4:55,4:56,510,Electric
84369,30,LMN,2,5:12,5:13,527,Diesel
84369,31,RBL,2,5:35,5:40,548,Diesel
84369,32,HCP,2,5:57,5:58,563,Diesel
84369,33,BCN,2,6:21,6:22,579,Diesel
84369,34,NHN,2,6:35,6:36,590,Diesel
84369,35,LKO,2,8:35,8:45,626,Diesel
84369,36,SAN,2,9:33,9:35,674,Diesel
84369,37,HRI,2,10:20,10:25,728,Diesel
84369,38,SPN,2,11:25,11:30,790,Diesel
84369,39,BE,2,12:40,0:00,861,Diesel
84370,1,BE,1,0:00,11:55,0,Electric
84370,2,SPN,1,13:10,13:15,70,Electric
84370,3,HRI,1,14:07,14:12,133,Electric
84370,4,SAN,1,14:56,14:58,186,Electric
84370,5,LKO,1,16:00,16:15,235,Electric
84370,6,NHN,1,16:53,16:54,270,Electric
84370,7,BCN,1,17:04,17:06,282,Electric
84370,8,HCP,1,17:23,17:24,298,Electric
84370,9,RBL,1,17:55,18:00,312,Electric
84370,10,LMN,1,18:21,18:22,333,Diesel
84370,11,UCR,1,18:37,18:39,350,Diesel
84370,12,PQN,1,18:50,18:52,361,Diesel
84370,13,GRMR,1,19:01,19:02,368,Diesel
84370,14,KHNM,1,19:14,19:15,380,Diesel
84370,15,LGO,1,19:30,19:31,394,Diesel
84370,16,RMC,1,19:40,19:42,401,Diesel
84370,17,PFM,1,20:18,20:19,422,Diesel
84370,18,PRG,1,20:33,20:35,429,Diesel
84370,19,ALD,1,20:55,21:20,435,Electric
84370,20,NYN,1,21:31,21:33,443,Electric
84370,21,MJA,1,22:00,22:02,474,Electric
84370,22,MNF,1,22:36,22:38,490,Electric
84370,23,BDL,1,23:22,23:24,518,Electric
84370,24,MZP,1,23:40,23:45,525,Electric
84370,25,CAR,2,0:43,0:45,556,Electric
84370,26,SKGH,2,1:23,1:25,577,Electric
84370,27,LUSA,2,2:18,2:20,598,Electric
84370,28,RBGJ,2,3:16,3:18,632,Electric
84370,29,CUK,2,3:53,3:55,637,Electric
84370,30,AGY,2,4:28,4:30,649,Diesel
84370,31,CPU,2,5:35,6:08,659,Diesel
84370,32,RNQ,2,7:12,7:17,701,Diesel
84370,33,DXN,2,7:38,7:40,722,Diesel
84370,34,WDM,2,8:03,8:05,744,Diesel
84370,35,NUQ,2,8:20,8:25,756,Diesel
84370,36,MQX,2,8:41,8:43,779,Diesel
84370,37,GHQ,2,8:53,8:55,790,Diesel
84370,38,GHD,2,9:15,9:20,800,Diesel
84370,39,DTO,2,9:55,10:00,834,Diesel
84370,40,BRWD,2,10:45,0:00,861,Diesel
11069,1,LTT,1,0:00,5:20,0,Electric
11069,2,TNA,1,5:38,5:40,17,Electric
11069,3,KYN,1,6:05,6:08,37,Electric
11069,4,IGP,1,7:50,7:55,120,Electric
11069,5,NK,1,8:40,8:45,171,Electric
11069,6,MMR,1,9:35,9:40,244,Electric
11069,7,BSL,1,11:50,12:00,428,Electric
11069,8,BAU,1,12:43,12:45,482,Electric
11069,9,KNW,1,14:15,14:20,551,Electric
11069,10,HD,1,15:33,15:35,659,Diesel
11069,11,TBN,1,15:51,15:53,673,Diesel
11069,12,ET,1,16:50,17:00,735,Diesel
11069,13,HBJ,1,18:15,18:17,820,Diesel
11069,14,BPL,1,18:40,18:45,826,Diesel
11069,15,BINA,1,21:35,21:40,965,Diesel
11069,16,LAR,1,22:29,22:31,1027,Diesel
11069,17,JHS,2,0:05,0:30,1116,Electric
11069,18,MRPR,2,1:30,1:32,1180,Electric
11069,19,HPP,2,1:58,2:00,1201,Electric
11069,20,MBA,2,2:53,2:55,1254,Electric
11069,21,BNDA,2,4:15,4:25,1307,Electric
11069,22,ATE,2,4:48,4:50,1339,Electric
11069,23,CKTD,2,5:20,5:25,1376,Electric
11069,24,MKP,2,6:45,6:50,1407,Electric
11069,25,ALD,2,8:50,0:00,1513,Electric
